Participant,Test Number,Start timestamp,End timestamp,Hand,Back,Msafety_acc,Msafety_ppg,Bangle
DL,1,1698415351000.0,1698415363000.0,testResults_Dl01_hand.json,testResults_Dl01.json,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_acc.csv,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_ppg.csv,dl01.json
DL,2,1698415427000.0,1698415437000.0,testResults_Dl02_hand.json,testResults_Dl02.json,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_acc.csv,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_ppg.csv,dl02.json
DL,3,1698415501000.0,1698415524000.0,testResults_Dl03_hand.json,testResults_Dl03.json,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_acc.csv,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_ppg.csv,dl03.json
DL,4,1698415579000.0,1698415601000.0,testResults_Dl04_hand.json,testResults_Dl04.json,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_acc.csv,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_ppg.csv,dl04.json
DL,5,1698414820000.0,1698414860000.0,testResults_Dl05_hand.json,testResults_Dl05.json,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_acc.csv,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_ppg.csv,dl05.json
DL,6,1698414997000.0,1698415005000.0,testResults_Dl06_hand.json,testResults_Dl06.json,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_acc.csv,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_ppg.csv,dl06.json
DL,7,1698419983000.0,1698419992000.0,testResults_Dl07_hand.json,testResults_Dl07.json,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_acc.csv,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_ppg.csv,dl07.json
DL,8,1698420073000.0,1698420082000.0,testResults_Dl08_hand.json,testResults_Dl08.json,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_acc.csv,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_ppg.csv,dl08.json
DL,9,1698420166000.0,1698420197000.0,testResults_Dl09_hand.json,testResults_Dl09.json,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_acc.csv,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_ppg.csv,dl09.json
DL,10,1698420258000.0,1698420291000.0,testResults_Dl10_hand.json,testResults_Dl10.json,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_acc.csv,6ba8ac15de_st1dby_2023-10-27_13_2023-10-27_17_ppg.csv,dl10.json
MB,1,1698672526000.0,1698672538000.0,testResults_Mb01_hand.json,testResults_Mb01.json,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_acc.csv,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_ppg.csv,banglemb01.json
MB,2,1698672664000.0,1698672674000.0,testResults_Mb02_hand.json,testResults_Mb02.json,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_acc.csv,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_ppg.csv,banglemb02.json
MB,3,1698672752000.0,1698672770000.0,testResults_Mb03_hand.json,testResults_Mb03.json,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_acc.csv,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_ppg.csv,banglemb03.json
MB,4,1698672821000.0,1698672842000.0,testResults_Mb04_hand.json,testResults_Mb04.json,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_acc.csv,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_ppg.csv,banglemb04.json
MB,5,1698673080000.0,1698673119000.0,testResults_Mb05_hand.json,testResults_Mb05.json,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_acc.csv,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_ppg.csv,banglemb05.json
MB,6,1698673404000.0,1698673411000.0,testResults_Mb06_hand.json,testResults_Mb06.json,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_acc.csv,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_ppg.csv,banglemb06.json
MB,7,1698674687000.0,1698674702000.0,testResults_Mb07_hand.json,testResults_Mb07.json,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_acc.csv,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_ppg.csv,banglemb07.json
MB,8,1698674845000.0,1698674852000.0,testResults_Mb08_hand.json,testResults_Mb08.json,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_acc.csv,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_ppg.csv,banglemb08.json
MB,9,1698674966000.0,1698674994000.0,testResults_Mb09_hand.json,testResults_Mb09.json,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_acc.csv,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_ppg.csv,banglemb09.json
MB,10,1698675170000.0,1698675225000.0,testResults_Mb10_hand.json,testResults_Mb10.json,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_acc.csv,6ba8ac15de_st1dby_2023-10-30_14_2023-10-30_15_ppg.csv,banglemb10.json
RC,1,1698744128000.0,1698744139000.0,testResults_Rc01_hand.json,testResults_Rc01.json,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_acc.csv,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_ppg.csv,rc01.json
RC,2,1698744203000.0,1698744215000.0,testResults_Rc02_hand.json,testResults_Rc02.json,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_acc.csv,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_ppg.csv,rc02.json
RC,3,1698744288000.0,1698744306000.0,testResults_Rc03_hand.json,testResults_Rc03.json,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_acc.csv,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_ppg.csv,rc03.json
RC,4,1698744359000.0,1698744378000.0,testResults_Rc04_hand.json,testResults_Rc04.json,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_acc.csv,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_ppg.csv,rc04.json
RC,5,1698744548000.0,1698744588000.0,testResults_Rc05_hand.json,testResults_Rc05.json,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_acc.csv,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_ppg.csv,rc05.json
RC,6,1698744753000.0,1698744763000.0,testResults_Rc06_hand.json,testResults_Rc06.json,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_acc.csv,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_ppg.csv,rc06.json
RC,7,1698745374000.0,1698745384000.0,testResults_Rc07_hand.json,testResults_Rc07.json,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_acc.csv,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_ppg.csv,rc07.json
RC,8,1698745473000.0,1698745482000.0,testResults_Rc08_hand.json,testResults_Rc08.json,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_acc.csv,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_ppg.csv,rc08.json
RC,9,1698745580000.0,1698745612000.0,testResults_Rc09_hand.json,testResults_Rc09.json,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_acc.csv,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_ppg.csv,rc09.json
RC,10,1698745698000.0,1698745730000.0,testResults_Rc10_hand.json,testResults_Rc10.json,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_acc.csv,6ba8ac15de_st1dby_2023-10-31_09_2023-10-31_10_ppg.csv,rc10.json
PB,1,1698920020000.0,1698920094000.0,None,testResults_Pb01.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,pb01.json
PB,2,1698920125000.0,1698920136000.0,testResults_Pb02_hand.json,testResults_Pb02.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,pb02.json
PB,3,1698920219000.0,1698920240000.0,testResults_Pb03_hand.json,None,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,pb03.json
PB,4,1698920346000.0,1698920367000.0,testResults_Pb04_hand.json,testResults_Pb04.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,pb04.json
PB,5,1698920734000.0,1698920773000.0,testResults_Pb05_hand.json,testResults_Pb05.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,pb05.json
PB,6,1698921028000.0,1698921039000.0,testResults_Pb06_hand.json,testResults_Pb06.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,pb06.json
PB,7,1698921420000.0,1698921431000.0,testResults_Pb07_hand.json,testResults_Pb07.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,pb07.json
PB,8,1698921500000.0,1698921509000.0,testResults_Pb08_hand.json,testResults_Pb08.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,pb08.json
PB,9,1698921737000.0,1698921763000.0,testResults_Pb09_hand.json,testResults_Pb09.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,pb09.json
PB,10,1698921839000.0,1698921864000.0,testResults_Pb10_hand.json,testResults_Pb10.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,pb10.json
LC,1,1698923567000.0,1698923576000.0,testResults_Lc01_hand.json,testResults_Lc01.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,lc01.json
LC,2,1698923672000.0,1698923680000.0,testResults_Lc02_hand.json,testResults_Lc02.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,lc02.json
LC,3,1698923805000.0,1698923838000.0,testResults_Lc03_hand.json,testResults_Lc03.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,lc03.json
LC,4,1698923883000.0,1698923913000.0,testResults_Lc04_hand.json,testResults_Lc04.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,lc04.json
LC,5,1698924224000.0,1698924237000.0,testResults_Lc05_hand.json,testResults_Lc05.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,lc05.json
LC,6,1698924293000.0,1698924306000.0,testResults_Lc06_hand.json,testResults_Lc06.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,lc06.json
LC,7,1698924357000.0,1698924379000.0,testResults_Lc07_hand.json,testResults_Lc07.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,lc07.json
LC,8,1698924427000.0,1698924446000.0,testResults_Lc08_hand.json,testResults_Lc08.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,lc08.json
LC,9,1698924610000.0,1698924648000.0,testResults_Lc09_hand.json,testResults_Lc09.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,lc09.json
LC,10,1698924847000.0,1698924857000.0,testResults_Lc10_hand.json,testResults_Lc10.json,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_acc.csv,6ba8ac15de_st1dby_2023-11-02_10_2023-11-02_12_ppg.csv,lc10.json
